Wavelength(nm)	T%
707.5		0.538836777
707		0.577611148
706.5		0.620450318
706		0.666756272
705.5		0.716212809
705		0.770285606
704.5		0.829794169
704		0.894474685
703.5		0.964243233
703		1.042923093
702.5		1.128396988
702		1.220263124
701.5		1.322366714
701		1.434893012
700.5		1.55713892
700		1.694194078
699.5		1.844313145
699		2.009416342
698.5		2.190157175
698		2.394204855
697.5		2.616985559
697		2.860459089
696.5		3.140756607
696		3.446060419
695.5		3.780252457
695		4.160189629
694.5		4.579653263
694		5.044294834
693.5		5.572330475
693		6.158653259
692.5		6.807825089
692		7.525610924
691.5		8.347704887
691		9.253047943
690.5		10.2553463
690		11.40498447
689.5		12.67851639
689		14.06849289
688.5		15.65114975
688		17.4034481
687.5		19.33808899
687		21.48868942
686.5		23.85609818
686		26.39516258
685.5		29.16479683
685		32.2103157
684.5		35.37628937
684		38.76063538
683.5		42.45456696
683		46.2713356
682.5		50.13730621
682		54.12407684
681.5		58.1190033
681		62.05190277
680.5		65.93318176
680		69.66217041
679.5		73.10488892
679		76.29891968
678.5		79.30265808
678		81.91162109
677.5		84.20035553
677		86.20461273
676.5		87.89674377
676		89.30635071
675.5		90.45030975
675		91.35498047
674.5		92.02984619
674		92.55674744
673.5		92.95238495
673		93.20897675
672.5		93.37858582
672		93.45039368
671.5		93.48647308
671		93.51850891
670.5		93.50659943
670		93.46907043
669.5		93.41094208
669		93.38186646
668.5		93.35617065
668		93.36572266
667.5		93.37876892
667		93.39492035
666.5		93.40366364
666		93.44795227
665.5		93.51017761
665		93.57674408
664.5		93.6812439
664		93.79714966
663.5		93.89498901
663		94.00354004
662.5		94.11342621
662		94.20996857
661.5		94.31594849
661		94.42616272
660.5		94.53530884
660		94.64493561
659.5		94.7390976
659		94.85035706
658.5		94.94216156
658		95.01525116
657.5		95.0813446
657		95.14323425
656.5		95.18642426
656		95.22763824
655.5		95.25289917
655		95.28263092
654.5		95.29507446
654		95.29911041
653.5		95.30232239
653		95.28530121
652.5		95.27766418
652		95.26039124
651.5		95.23867035
651		95.21057892
650.5		95.18371582
650		95.16609192
649.5		95.13114929
649		95.10622406
648.5		95.07148743
648		95.04911041
647.5		95.01531219
647		94.99828339
646.5		94.98474884
646		94.97346497
645.5		94.95658112
645		94.95017242
644.5		94.93751526
644		94.94255829
643.5		94.94484711
643		94.94821167
642.5		94.96199799
642		94.97694397
641.5		94.96352386
641		94.98246765
640.5		95.00556183
640		95.03360748
639.5		95.08673859
639		95.11772919
638.5		95.14645386
638		95.18430328
637.5		95.22012329
637		95.25794983
636.5		95.2649765
636		95.29701996
635.5		95.33365631
635		95.36684418
634.5		95.4006958
634		95.42467499
633.5		95.48736572
633		95.52222443
632.5		95.54293823
632		95.56369019
631.5		95.59146118
631		95.60527039
630.5		95.61283875
630		95.62467194
629.5		95.63804626
629		95.64111328
628.5		95.63951874
628		95.63924408
627.5		95.6264267
627		95.62181091
626.5		95.6044693
626		95.58739471
625.5		95.5776825
625		95.54588318
624.5		95.52079773
624		95.49280548
623.5		95.46740723
623		95.43488312
622.5		95.39627838
622		95.35945129
621.5		95.31381989
621		95.28125763
620.5		95.24016571
620		95.19762421
619.5		95.15818024
619		95.11154938
618.5		95.07207489
618		95.03121185
617.5		94.99060822
617		94.94190979
616.5		94.91584778
616		94.84931946
615.5		94.79914093
615		94.77058411
614.5		94.76211548
614		94.73497009
613.5		94.70974731
613		94.69197083
612.5		94.66124725
612		94.61818695
611.5		94.59480286
611		94.57971191
610.5		94.56296539
610		94.56052399
609.5		94.54941559
609		94.54677582
608.5		94.55878448
608		94.56486511
607.5		94.56840515
607		94.56472015
606.5		94.56695557
606		94.56856537
605.5		94.5725174
605		94.57655334
604.5		94.58518982
604		94.59922791
603.5		94.59855652
603		94.60639191
602.5		94.60743713
602		94.60990143
601.5		94.60903931
601		94.58096313
600.5		94.57206726
600		94.58843231
599.5		94.58615875
599		94.54460144
598.5		94.52352905
598		94.52992249
597.5		94.50824738
597		94.45083618
596.5		94.41699219
596		94.39981842
595.5		94.34300232
595		94.29079437
594.5		94.2611084
594		94.21297455
593.5		94.13114929
593		94.0894928
592.5		94.02990723
592		93.92772675
591.5		93.85354614
591		93.80498505
590.5		93.7261734
590		93.62252045
589.5		93.53154755
589		93.47502899
588.5		93.3613205
588		93.25814819
587.5		93.17241669
587		93.09593201
586.5		92.98738098
586		92.88238525
585.5		92.78543854
585		92.70528412
584.5		92.61161804
584		92.48682404
583.5		92.37750244
583		92.26474762
582.5		92.18096924
582		92.07571411
581.5		91.96047211
581		91.81859589
580.5		91.69219971
580		91.55448914
579.5		91.44915771
579		91.31918335
578.5		91.17364502
578		90.99877167
577.5		90.83226776
577		90.65414429
576.5		90.46509552
576		90.27303314
575.5		90.08859253
575		89.87509155
574.5		89.63907623
574		89.39199829
573.5		89.09815216
573		88.80168152
