Wavelength(nm)	T%
694.5		1.16E-06
694		9.88E-05
693.5		0.000105199
693		0.000191755
692.5		-9.00E-05
692		0.000138098
691.5		0.000193141
691		0.00016757
690.5		-9.16E-06
690		9.21E-05
689.5		0.000146285
689		0.000158041
688.5		3.27E-05
688		2.72E-06
687.5		9.26E-05
687		0.000277129
686.5		0.000275248
686		0.000251949
685.5		0.000264956
685		-4.01E-05
684.5		-7.64E-05
684		-0.000103827
683.5		0.000135581
683		5.17E-06
682.5		-1.14E-05
682		3.03E-05
681.5		0.000172259
681		8.56E-05
680.5		2.81E-05
680		3.36E-05
679.5		6.79E-05
679		9.93E-05
678.5		0.000161311
678		9.49E-05
677.5		-2.25E-05
677		8.73E-05
676.5		0.000138217
676		0.000136629
675.5		-5.85E-06
675		0.000143115
674.5		0.000114299
674		0.000131904
673.5		0.000364053
673		9.58E-05
672.5		-1.22E-05
672		8.60E-05
671.5		0.000147692
671		0.000255195
670.5		0.00012227
670		-2.72E-05
669.5		6.40E-05
669		-1.83E-05
668.5		5.06E-05
668		5.72E-05
667.5		7.75E-05
667		0.000279927
666.5		2.45E-05
666		0.000127041
665.5		0.0001158
665		0.000149296
664.5		0.000170398
664		0.000234579
663.5		-3.25E-06
663		0.000210981
662.5		-2.84E-07
662		7.43E-05
661.5		0.000115836
661		4.49E-05
660.5		6.48E-05
660		0.000163253
659.5		-9.99E-05
659		0.000298309
658.5		0.000213261
658		8.15E-05
657.5		-5.86E-05
657		-5.53E-05
656.5		-2.90E-05
656		5.88E-05
655.5		8.66E-05
655		5.75E-05
654.5		-0.000110006
654		2.84E-05
653.5		0.000216987
653		0.000173958
652.5		0.000134663
652		9.81E-05
651.5		0.00014808
651		0.000121742
650.5		0.000137585
650		0.000156264
649.5		-3.25E-05
649		-1.75E-05
648.5		3.19E-05
648		5.43E-05
647.5		0.000296456
647		0.000230542
646.5		0.000166181
646		-3.95E-05
645.5		9.97E-05
645		-1.67E-05
644.5		4.57E-05
644		8.96E-05
643.5		7.46E-05
643		-7.57E-05
642.5		0.000205839
642		-3.36E-05
641.5		-0.000148749
641		0.000154588
640.5		-4.49E-05
640		-2.46E-05
639.5		1.84E-05
639		0.00011854
638.5		0.000106926
638		1.69E-05
637.5		0.000122453
637		-2.23E-06
636.5		-4.41E-05
636		0.000141721
635.5		0.000188199
635		0.000105068
634.5		0.000231721
634		9.94E-05
633.5		3.60E-05
633		4.41E-05
632.5		0.000445195
632		2.74E-05
631.5		0.000295078
631		0.000143213
630.5		-0.000101778
630		7.65E-06
629.5		0.000106393
629		1.15E-05
628.5		5.58E-05
628		7.48E-05
627.5		0.000129577
627		5.28E-05
626.5		0.00013649
626		7.48E-05
625.5		-4.97E-05
625		8.63E-05
624.5		9.56E-05
624		5.18E-05
623.5		0.000129436
623		0.000292248
622.5		-2.18E-05
622		0.00019665
621.5		0.000240911
621		0.000173518
620.5		0.000277765
620		0.000292158
619.5		0.000103574
619		0.000157577
618.5		0.000200846
618		6.19E-05
617.5		0.000361656
617		0.000183925
616.5		0.000250021
616		0.000319137
615.5		0.000238799
615		0.000388784
614.5		0.000313804
614		0.000206086
613.5		0.000289728
613		0.000218059
612.5		0.000224135
612		0.000304202
611.5		0.000306251
611		0.000207757
610.5		0.000298774
610		0.000179381
609.5		0.000287528
609		8.66E-05
608.5		0.00041782
608		0.000558798
607.5		0.000435911
607		0.000434014
606.5		0.000360263
606		0.000507833
605.5		0.000581711
605		0.000472592
604.5		0.000291791
604		0.000447784
603.5		0.000282794
603		0.00041598
602.5		0.000310559
602		0.000344695
601.5		0.000567829
601		0.000221811
600.5		0.000464625
600		0.000564248
599.5		0.000569867
599		0.00061744
598.5		0.000747046
598		0.000696446
597.5		0.000689488
597		0.000633613
596.5		0.00092317
596		0.000976436
595.5		0.000835891
595		0.000901204
594.5		0.000876516
594		0.001108268
593.5		0.001208887
593		0.001614346
592.5		0.001458092
592		0.001167567
591.5		0.001829235
591		0.001850695
590.5		0.001901626
590		0.00217031
589.5		0.002163117
589		0.002525835
588.5		0.002337829
588		0.002950968
587.5		0.003425548
587		0.003736306
586.5		0.004161144
586		0.004402012
585.5		0.004999399
585		0.005439792
584.5		0.00585635
584		0.006531564
583.5		0.00735802
583		0.008085955
582.5		0.008997585
582		0.009990205
581.5		0.011039337
581		0.012127551
580.5		0.013404052
580		0.014943053
579.5		0.01664504
579		0.018277306
578.5		0.020176725
578		0.022402572
577.5		0.024693854
577		0.027521662
576.5		0.031006936
576		0.033997692
575.5		0.037842486
575		0.042071175
574.5		0.046967547
574		0.052321363
573.5		0.058338802
573		0.065273061
572.5		0.073095798
572		0.081936054
571.5		0.091729164
571		0.103151254
570.5		0.116058648
570		0.131187037
569.5		0.14762865
569		0.167708054
568.5		0.190380395
568		0.216471151
567.5		0.246743143
567		0.281882852
566.5		0.323742956
566		0.372322261
565.5		0.427622616
565		0.494956493
564.5		0.573335052
564		0.665440142
563.5		0.777752698
563		0.910452366
562.5		1.068288088
562		1.259535551
561.5		1.491677999
561		1.769382
