Wavelength(nm)	T%
763.5		95.25565338
763		95.25862122
762.5		95.27880096
762		95.28392792
761.5		95.28278351
761		95.29382324
760.5		95.32177734
760		95.32728577
759.5		95.32187653
759		95.33605194
758.5		95.33473969
758		95.31789398
757.5		95.30763245
757		95.33798218
756.5		95.33570099
756		95.32659912
755.5		95.31729889
755		95.29465485
754.5		95.28136444
754		95.24809265
753.5		95.2596817
753		95.2260437
752.5		95.22042084
752		95.20453644
751.5		95.17863464
751		95.14626312
750.5		95.12522125
750		95.10609436
749.5		95.07450867
749		95.04815674
748.5		95.01524353
748		94.97925568
747.5		94.9317627
747		94.90943146
746.5		94.89030457
746		94.8444519
745.5		94.8015213
745		94.75635529
744.5		94.70663452
744		94.66044617
743.5		94.62221527
743		94.57401276
742.5		94.51638031
742		94.47014618
741.5		94.40635681
741		94.34682465
740.5		94.29392242
740		94.23738861
739.5		94.18611145
739		94.1255188
738.5		94.04033661
738		93.96652222
737.5		93.91918182
737		93.84475708
736.5		93.7807312
736		93.6999588
735.5		93.60231018
735		93.52802277
734.5		93.45654297
734		93.3839798
733.5		93.27603912
733		93.19709778
732.5		93.08333588
732		92.96907043
731.5		92.88006592
731		92.78039551
730.5		92.6548996
730		92.53128815
729.5		92.39355469
729		92.27828979
728.5		92.14762878
728		92.01120758
727.5		91.84920502
727		91.69103241
726.5		91.51926422
726		91.37624359
725.5		91.20116425
725		91.01846313
724.5		90.80851746
724		90.60530853
723.5		90.4164505
723		90.21522522
722.5		89.96643066
722		89.70718384
721.5		89.46877289
721		89.22496796
720.5		88.96997833
720		88.6855011
719.5		88.38243866
719		88.04993439
718.5		87.73252106
718		87.42307281
717.5		87.06118011
717		86.71350098
716.5		86.30667114
716		85.90435028
715.5		85.50032806
715		85.07277679
714.5		84.61270905
714		84.14619446
713.5		83.68566132
713		83.1696167
712.5		82.63826752
712		82.07319641
711.5		81.49776459
711		80.91566467
710.5		80.2983551
710		79.66182709
709.5		78.95226288
709		78.26065826
708.5		77.56466675
708		76.81013489
707.5		76.02332306
707		75.20199585
706.5		74.35726166
706		73.49182892
705.5		72.58370209
705		71.62917328
704.5		70.65502167
704		69.67398071
703.5		68.65057373
703		67.53157806
702.5		66.41392517
702		65.30049133
701.5		64.1132431
701		62.90076828
700.5		61.65329742
700		60.3396225
699.5		59.03224182
699		57.67721558
698.5		56.30113983
698		54.84798431
697.5		53.40857697
697		51.95764923
696.5		50.42841339
696		48.87718201
695.5		47.34507751
695		45.77758408
694.5		44.19038773
694		42.58345413
693.5		40.94458771
693		39.32208252
692.5		37.70156479
692		36.07527542
691.5		34.42626953
691		32.82500076
690.5		31.23069954
690		29.60943604
689.5		28.02475739
689		26.50090408
688.5		24.95796776
688		23.44605637
687.5		21.98884773
687		20.56201553
686.5		19.17264557
686		17.84124374
685.5		16.56507874
685		15.33567429
684.5		14.16760349
684		13.04580879
683.5		11.94180775
683		10.91126728
682.5		9.956674576
682		9.042976379
681.5		8.179665565
681		7.386119843
680.5		6.641239166
680		5.947508812
679.5		5.317873955
679		4.737729073
678.5		4.197466373
678		3.715708733
677.5		3.278463364
677		2.872783422
676.5		2.511223078
676		2.19240737
675.5		1.905382037
675		1.649240375
674.5		1.423022389
674		1.222652555
673.5		1.04670608
673		0.894995153
672.5		0.76246047
672		0.645109952
671.5		0.546215832
671		0.461595595
670.5		0.387049079
670		0.324051023
669.5		0.271440953
669		0.226123884
668.5		0.187893376
668		0.156080738
667.5		0.128919214
667		0.106423065
666.5		0.087752111
666		0.071930952
665.5		0.058957316
665		0.04833544
664.5		0.039519116
664		0.03219182
663.5		0.026246862
663		0.021295417
662.5		0.017446682
662		0.014113073
661.5		0.011525824
661		0.009242465
660.5		0.00757693
660		0.006155073
659.5		0.005044228
659		0.004103122
658.5		0.00331062
658		0.002723599
657.5		0.002198082
657		0.001799923
656.5		0.001408363
656		0.001163319
655.5		0.001017473
655		0.000918599
654.5		0.000695889
654		0.000610786
653.5		0.000354128
653		0.0002913
652.5		0.00029844
652		0.00025101
651.5		0.000155037
651		0.00023668
650.5		0.000222214
650		0.000147874
649.5		4.15E-05
649		0.000204555
648.5		0.00016933
648		9.26E-05
647.5		0.000176726
647		0.000167102
646.5		0.000126034
646		0.000201041
645.5		0.00019285
645		0.000231478
644.5		6.21E-05
644		0.00022443
643.5		8.13E-05
643		3.36E-05
642.5		0.000147726
642		-8.82E-06
641.5		0.000103773
641		-6.45E-05
640.5		0.000128281
640		0.000123929
639.5		6.82E-05
639		-3.95E-05
638.5		7.18E-05
638		8.55E-06
637.5		5.02E-05
637		-2.54E-05
636.5		-0.000155466
636		0.000128553
635.5		8.39E-05
635		9.38E-05
634.5		1.70E-05
634		5.71E-05
633.5		3.27E-05
633		2.27E-05
632.5		3.77E-05
632		0.000175429
631.5		0.00010708
631		0.000106007
630.5		0.000116434
630		4.67E-05
629.5		8.71E-05
629		0.000148547
628.5		-4.47E-05
628		4.59E-05
627.5		4.73E-05
627		0.000101405
626.5		8.38E-05
626		-0.000164212
625.5		5.41E-06
625		5.28E-05
624.5		9.42E-05
624		-2.85E-05
623.5		0.000145348
623		-6.15E-05
622.5		0.000105983
622		-5.99E-05
621.5		-1.44E-06
621		0.000118236
620.5		1.73E-05
620		0.000173804
619.5		-5.72E-06
619		-6.80E-06
618.5		0.000197768
